nohup: ignoring input
Epoch: 1

Validation:   0%|          | 0/44 [00:00<?, ?it/s]
Validation:   0%|          | 0/44 [00:47<?, ?it/s, Loss: 1.17676]
Validation:   2%|▏         | 1/44 [00:47<34:12, 47.73s/it, Loss: 1.17676]
Validation:  98%|█████████▊| 43/44 [14:14<00:30, 30.28s/it, Loss: 0.83398]
Validation:  98%|█████████▊| 43/44 [14:48<00:30, 30.28s/it, Loss: 0.56445]
Validation: 100%|██████████| 44/44 [14:48<00:00, 31.26s/it, Loss: 0.56445]
Validation: 100%|██████████| 44/44 [15:21<00:00, 31.26s/it, Loss: 0.74512]
Validation: 45it [15:21, 31.63s/it, Loss: 0.74512]                        
Validation: 46it [15:53, 31.63s/it, Loss: 0.54004]
Validation: 47it [15:53, 24.73s/it, Loss: 0.54004]
Validation: 47it [16:27, 24.73s/it, Loss: 0.96680]
Validation: 48it [16:27, 26.91s/it, Loss: 0.96680]
Validation: 48it [16:59, 26.91s/it, Loss: 0.73242]
Validation: 49it [16:59, 28.28s/it, Loss: 0.73242]
Validation: 49it [17:32, 28.28s/it, Loss: 0.89893]
Validation: 50it [17:32, 29.38s/it, Loss: 0.89893]
Validation: 50it [18:04, 29.38s/it, Loss: 0.69434]
Validation: 51it [18:04, 30.14s/it, Loss: 0.69434]
Validation: 51it [18:35, 30.14s/it, Loss: 0.75488]
Validation: 52it [18:35, 30.51s/it, Loss: 0.75488]
Validation: 52it [19:07, 30.51s/it, Loss: 0.58887]
Validation: 53it [19:07, 30.84s/it, Loss: 0.58887]
Validation: 100%|██████████| 44/44 [19:07<00:00, 26.08s/it, Loss: 0.58887]
Validation Loss: 0.78609
Epoch: 2

Validation:   0%|          | 0/44 [00:00<?, ?it/s]
Validation:   0%|          | 0/44 [00:29<?, ?it/s, Loss: 1.17578]
Validation:   2%|▏         | 1/44 [00:29<21:10, 29.55s/it, Loss: 1.17578]
Validation:   5%|▍         | 2/44 [00:59<20:41, 29.55s/it, Loss: 0.99121]
Validation:   7%|▋         | 3/44 [00:59<12:52, 18.84s/it, Loss: 0.99121]
Validation:   9%|▉         | 4/44 [01:29<12:33, 18.84s/it, Loss: 0.88574]
Validation:  11%|█▏        | 5/44 [01:29<10:55, 16.82s/it, Loss: 0.88574]
Validation:  11%|█▏        | 5/44 [01:59<10:55, 16.82s/it, Loss: 0.88770]
Validation:  14%|█▎        | 6/44 [01:59<12:53, 20.36s/it, Loss: 0.88770]
Validation:  16%|█▌        | 7/44 [02:30<12:33, 20.36s/it, Loss: 0.85352]
Validation:  18%|█▊        | 8/44 [02:30<10:58, 18.29s/it, Loss: 0.85352]
Validation:  18%|█▊        | 8/44 [03:02<10:58, 18.29s/it, Loss: 0.71387]
Validation:  20%|██        | 9/44 [03:02<12:28, 21.37s/it, Loss: 0.71387]
Validation:  20%|██        | 9/44 [03:31<12:28, 21.37s/it, Loss: 1.12109]
Validation:  23%|██▎       | 10/44 [03:31<13:18, 23.48s/it, Loss: 1.12109]
Validation:  25%|██▌       | 11/44 [04:03<12:54, 23.48s/it, Loss: 0.92529]
Validation:  27%|██▋       | 12/44 [04:03<10:49, 20.29s/it, Loss: 0.92529]
Validation:  27%|██▋       | 12/44 [04:34<10:49, 20.29s/it, Loss: 0.97949]
Validation:  30%|██▉       | 13/44 [04:34<11:43, 22.71s/it, Loss: 0.97949]
Validation:  30%|██▉       | 13/44 [05:04<11:43, 22.71s/it, Loss: 1.10547]
Validation:  32%|███▏      | 14/44 [05:04<12:16, 24.55s/it, Loss: 1.10547]
Validation:  32%|███▏      | 14/44 [05:35<12:16, 24.55s/it, Loss: 0.70020]
Validation:  34%|███▍      | 15/44 [05:35<12:37, 26.13s/it, Loss: 0.70020]
Validation:  36%|███▋      | 16/44 [06:06<12:11, 26.13s/it, Loss: 1.01465]
Validation:  39%|███▊      | 17/44 [06:06<09:45, 21.70s/it, Loss: 1.01465]
Validation:  39%|███▊      | 17/44 [06:37<09:45, 21.70s/it, Loss: 0.75781]
Validation:  41%|████      | 18/44 [06:37<10:19, 23.83s/it, Loss: 0.75781]
Validation:  41%|████      | 18/44 [07:08<10:19, 23.83s/it, Loss: 1.00879]
Validation:  43%|████▎     | 19/44 [07:08<10:42, 25.69s/it, Loss: 1.00879]
Validation:  43%|████▎     | 19/44 [07:39<10:42, 25.69s/it, Loss: 0.85254]
Validation:  45%|████▌     | 20/44 [07:39<10:46, 26.94s/it, Loss: 0.85254]
Validation:  45%|████▌     | 20/44 [08:09<10:46, 26.94s/it, Loss: 1.04297]
Validation:  48%|████▊     | 21/44 [08:09<10:44, 28.03s/it, Loss: 1.04297]
Validation:  50%|█████     | 22/44 [08:39<10:16, 28.03s/it, Loss: 1.13770]
Validation:  52%|█████▏    | 23/44 [08:39<07:46, 22.23s/it, Loss: 1.13770]
Validation:  52%|█████▏    | 23/44 [09:09<07:46, 22.23s/it, Loss: 0.62402]
Validation:  55%|█████▍    | 24/44 [09:09<07:58, 23.95s/it, Loss: 0.62402]
Validation:  55%|█████▍    | 24/44 [09:39<07:58, 23.95s/it, Loss: 0.56543]
Validation:  57%|█████▋    | 25/44 [09:39<08:07, 25.67s/it, Loss: 0.56543]
Validation:  57%|█████▋    | 25/44 [10:09<08:07, 25.67s/it, Loss: 0.55615]
Validation:  59%|█████▉    | 26/44 [10:09<08:01, 26.76s/it, Loss: 0.55615]
Validation:  59%|█████▉    | 26/44 [10:38<08:01, 26.76s/it, Loss: 0.56396]
Validation:  61%|██████▏   | 27/44 [10:38<07:47, 27.48s/it, Loss: 0.56396]
Validation:  61%|██████▏   | 27/44 [11:08<07:47, 27.48s/it, Loss: 0.44336]
Validation:  64%|██████▎   | 28/44 [11:08<07:30, 28.15s/it, Loss: 0.44336]
Validation:  66%|██████▌   | 29/44 [11:39<07:02, 28.15s/it, Loss: 0.52832]
Validation:  68%|██████▊   | 30/44 [11:39<05:14, 22.44s/it, Loss: 0.52832]
Validation:  68%|██████▊   | 30/44 [12:09<05:14, 22.44s/it, Loss: 0.45776]
Validation:  70%|███████   | 31/44 [12:09<05:15, 24.29s/it, Loss: 0.45776]
Validation:  70%|███████   | 31/44 [12:39<05:15, 24.29s/it, Loss: 0.65039]
Validation:  73%|███████▎  | 32/44 [12:39<05:08, 25.69s/it, Loss: 0.65039]
Validation:  73%|███████▎  | 32/44 [13:11<05:08, 25.69s/it, Loss: 0.85840]
Validation:  75%|███████▌  | 33/44 [13:11<05:00, 27.31s/it, Loss: 0.85840]
Validation:  75%|███████▌  | 33/44 [13:42<05:00, 27.31s/it, Loss: 0.59863]
Validation:  77%|███████▋  | 34/44 [13:42<04:44, 28.41s/it, Loss: 0.59863]
Validation:  77%|███████▋  | 34/44 [14:12<04:44, 28.41s/it, Loss: 0.79785]
